ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11159321,JA523768,11/23/2017 05:00:00 PM,013XX W 109TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,2234,022,34,75,08B,1169437,1832486,2017,11/30/2017 03:52:45 PM,41.695843322,-87.65525108,"(41.695843322, -87.65525108)"
11159330,JA525127,11/23/2017 03:00:00 AM,058XX S PRINCETON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,false,false,0711,007,20,68,07,1175284,1866277,2017,11/30/2017 03:52:45 PM,41.788441799,-87.632836061,"(41.788441799, -87.632836061)"
11159381,JA525254,11/23/2017 01:00:00 PM,050XX W ERIE ST,0890,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),false,false,1532,015,28,25,06,1142621,1903850,2017,11/30/2017 03:52:45 PM,41.892215347,-87.751667556,"(41.892215347, -87.751667556)"
11159565,JA525314,11/23/2017 12:00:00 AM,024XX W LITHUANIAN PLAZA CT,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0832,008,15,66,14,1161135,1858830,2017,11/30/2017 03:52:45 PM,41.768310829,-87.684921195,"(41.768310829, -87.684921195)"
11159620,JA522705,11/23/2017 12:05:00 PM,015XX E 67TH PL,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,0332,003,5,43,26,1187677,1860540,2017,11/30/2017 03:52:45 PM,41.772412942,-87.587578543,"(41.772412942, -87.587578543)"
11159648,JA522707,11/23/2017 12:15:00 PM,019XX W SUPERIOR ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1221,012,1,24,08B,1163279,1905019,2017,11/30/2017 03:52:45 PM,41.895013826,-87.675766395,"(41.895013826, -87.675766395)"
11159668,JA523303,11/23/2017 01:00:00 PM,059XX S RICHMOND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0824,008,16,66,08B,1157730,1865123,2017,11/30/2017 03:52:45 PM,41.785649501,-87.697231623,"(41.785649501, -87.697231623)"
11159697,JA525519,11/23/2017 08:58:00 PM,032XX W DEVON AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,VEHICLE - OTHER RIDE SERVICE,false,false,2413,024,50,2,17,1153775,1942254,2017,11/30/2017 03:52:45 PM,41.997383899,-87.709677147,"(41.997383899, -87.709677147)"
11159734,JA522779,11/23/2017 01:56:00 PM,080XX S MARQUETTE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0422,004,7,46,08B,1195570,1852280,2017,11/30/2017 03:52:45 PM,41.749555455,-87.558918221,"(41.749555455, -87.558918221)"
11159752,JA525620,11/23/2017 06:55:00 AM,068XX S MARSHFIELD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,true,false,0725,007,17,67,11,1166522,1859356,2017,11/30/2017 03:52:45 PM,41.769641103,-87.66516022,"(41.769641103, -87.66516022)"
